account,account_type,available_at,cash_flow,credit_usd,debit_usd,description,entity,fact_state,journal_id,month,month_index,period,scenario,segment,signed_usd,source_id,source_type,unit,year
BIZ_AR,asset,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,0.0000,1740000.0000,Annual subscription billing,SHI,CONDITIONAL_FORECAST,BIZ-base-0000014,1,1,2027-01-31,base,FOUNDRY_FIELD,1740000.0000,base-01-INVOICE-INV-base-FF-003-TERM-0,BUSINESS_DRIVEN_FORECAST,foundry-field,2027
BIZ_DEFERRED,liability,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,1740000.0000,0.0000,Annual subscription billing,SHI,CONDITIONAL_FORECAST,BIZ-base-0000014,1,1,2027-01-31,base,FOUNDRY_FIELD,-1740000.0000,base-01-INVOICE-INV-base-FF-003-TERM-0,BUSINESS_DRIVEN_FORECAST,foundry-field,2027
1000,asset,2026-09-09T00:00:00Z,OPERATING,0.0000,435000.0000,Modeled customer receipt,SHI,CONDITIONAL_FORECAST,BIZ-base-0000138,2,2,2027-02-28,base,FOUNDRY_FIELD,435000.0000,base-02-COLLECTION-INV-base-FF-003-TERM-0,BUSINESS_DRIVEN_FORECAST,foundry-field,2027
BIZ_AR,asset,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,435000.0000,0.0000,Modeled customer receipt,SHI,CONDITIONAL_FORECAST,BIZ-base-0000138,2,2,2027-02-28,base,FOUNDRY_FIELD,-435000.0000,base-02-COLLECTION-INV-base-FF-003-TERM-0,BUSINESS_DRIVEN_FORECAST,foundry-field,2027
BIZ_CREDIT_LOSS,expense,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,0.0000,1305000.0000,Explicit synthetic default writes off remaining claim; allowance releases at close,SHI,CONDITIONAL_FORECAST,BIZ-base-0000904,6,6,2027-06-30,base,FOUNDRY_FIELD,1305000.0000,base-06-CREDIT_WRITEOFF-INV-base-FF-003-TERM-0,BUSINESS_DRIVEN_FORECAST,foundry-field,2027
BIZ_AR,asset,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,1305000.0000,0.0000,Explicit synthetic default writes off remaining claim; allowance releases at close,SHI,CONDITIONAL_FORECAST,BIZ-base-0000904,6,6,2027-06-30,base,FOUNDRY_FIELD,-1305000.0000,base-06-CREDIT_WRITEOFF-INV-base-FF-003-TERM-0,BUSINESS_DRIVEN_FORECAST,foundry-field,2027
BIZ_REVENUE,revenue,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,0.0000,14500.0000,"Credit reduces open claim, then written-off claim, then cash-backed refund",SHI,CONDITIONAL_FORECAST,BIZ-base-0001186,7,7,2027-07-31,base,FOUNDRY_FIELD,14500.0000,base-07-CREDIT_NOTE-SYN-INC-FF-003-INV-base-FF-003-TERM-0,BUSINESS_DRIVEN_FORECAST,foundry-field,2027
BIZ_CREDIT_LOSS,expense,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,14500.0000,0.0000,"Credit reduces open claim, then written-off claim, then cash-backed refund",SHI,CONDITIONAL_FORECAST,BIZ-base-0001186,7,7,2027-07-31,base,FOUNDRY_FIELD,-14500.0000,base-07-CREDIT_NOTE-SYN-INC-FF-003-INV-base-FF-003-TERM-0,BUSINESS_DRIVEN_FORECAST,foundry-field,2027
BIZ_DEFERRED,liability,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,0.0000,145000.0000,"Credit reduces open claim, then written-off claim, then cash-backed refund",SHI,CONDITIONAL_FORECAST,BIZ-base-0001401,8,8,2027-08-31,base,FOUNDRY_FIELD,145000.0000,base-08-CREDIT_NOTE-SYN-AMEND-003-INV-base-FF-003-TERM-0,BUSINESS_DRIVEN_FORECAST,foundry-field,2027
BIZ_CREDIT_LOSS,expense,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,145000.0000,0.0000,"Credit reduces open claim, then written-off claim, then cash-backed refund",SHI,CONDITIONAL_FORECAST,BIZ-base-0001401,8,8,2027-08-31,base,FOUNDRY_FIELD,-145000.0000,base-08-CREDIT_NOTE-SYN-AMEND-003-INV-base-FF-003-TERM-0,BUSINESS_DRIVEN_FORECAST,foundry-field,2027
1000,asset,2026-09-09T00:00:00Z,OPERATING,0.0000,174000.0000,Modeled post-writeoff recovery,SHI,CONDITIONAL_FORECAST,BIZ-base-0001754,10,10,2027-10-31,base,FOUNDRY_FIELD,174000.0000,base-10-CREDIT_RECOVERY-INV-base-FF-003-TERM-0,BUSINESS_DRIVEN_FORECAST,foundry-field,2027
BIZ_CREDIT_LOSS,expense,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,174000.0000,0.0000,Modeled post-writeoff recovery,SHI,CONDITIONAL_FORECAST,BIZ-base-0001754,10,10,2027-10-31,base,FOUNDRY_FIELD,-174000.0000,base-10-CREDIT_RECOVERY-INV-base-FF-003-TERM-0,BUSINESS_DRIVEN_FORECAST,foundry-field,2027
