date,event,category
2024-08-19,Mari Varela opens western uranium graveyard review,strategy
2024-10-04,Northstar circulates Red Wash teaser,sale
2024-10-18,Mutual nondisclosure agreement executed,transaction
2024-11-01,Virtual data room opens,diligence
2025-01-17,Sable Harbor submits 34 million dollar indication of interest,transaction
2025-02-07,Nonbinding LOI at 38 million dollar preliminary operating value,transaction
2025-03-14,East 12 continuity issue confirmed,diligence
2025-03-27,MW-17 and Tailings Cell 1 underdrain evidence linked,diligence
2025-04-11,Seller re-trades to 48 million dollars,sale
2025-05-05,Sable Harbor walks away,transaction
2025-05-29,Northstar returns,sale
2025-06-06,Revised 42 million dollar operating asset and 28 million dollar cash structure,transaction
2025-06-20,Final integrated diligence reports issued,diligence
2025-06-27,Sable Harbor Board authorizes transaction,governance
2025-07-02,Equity Purchase Agreement signed,transaction
2025-07-18,Transaction closes,closing
2025-07-19,One-hundred-day stabilization begins,integration
2025-09-14,Cole invokes temporary stop authority,operations
2025-09-16,Fourteen millimeters of convergence measured,operations
2025-12-31,H2 stabilization accounting closes,integration
2026-08-31,Current actual reporting cutoff,reporting
