gross_pool_usd,period,pool_id,posting_state,residual_pool_usd,scenario,source_basis,statutory_fee_credit_usd,unit
337000.0006,2027-01-31,technology,NONPOSTING_MANAGEMENT_VIEW,300669.6858,base,"ESS payroll split into technology 40%, finance 30%, people 30%; facility/vendor expense to technology; independent audit payroll to assurance. J2 mission and other corporate expense retained centrally. Existing statutory fees credited once, with no journal reposting.",36330.3148,corporate
168000.0005,2027-01-31,finance,NONPOSTING_MANAGEMENT_VIEW,149888.7457,base,"ESS payroll split into technology 40%, finance 30%, people 30%; facility/vendor expense to technology; independent audit payroll to assurance. J2 mission and other corporate expense retained centrally. Existing statutory fees credited once, with no journal reposting.",18111.2548,corporate
168000.0005,2027-01-31,people,NONPOSTING_MANAGEMENT_VIEW,149888.7457,base,"ESS payroll split into technology 40%, finance 30%, people 30%; facility/vendor expense to technology; independent audit payroll to assurance. J2 mission and other corporate expense retained centrally. Existing statutory fees credited once, with no journal reposting.",18111.2548,corporate
100000.0000,2027-01-31,assurance,NONPOSTING_MANAGEMENT_VIEW,89219.4911,base,"ESS payroll split into technology 40%, finance 30%, people 30%; facility/vendor expense to technology; independent audit payroll to assurance. J2 mission and other corporate expense retained centrally. Existing statutory fees credited once, with no journal reposting.",10780.5089,corporate
337000.0006,2027-02-28,technology,NONPOSTING_MANAGEMENT_VIEW,300669.6858,base,"ESS payroll split into technology 40%, finance 30%, people 30%; facility/vendor expense to technology; independent audit payroll to assurance. J2 mission and other corporate expense retained centrally. Existing statutory fees credited once, with no journal reposting.",36330.3148,corporate
168000.0005,2027-02-28,finance,NONPOSTING_MANAGEMENT_VIEW,149888.7457,base,"ESS payroll split into technology 40%, finance 30%, people 30%; facility/vendor expense to technology; independent audit payroll to assurance. J2 mission and other corporate expense retained centrally. Existing statutory fees credited once, with no journal reposting.",18111.2548,corporate
168000.0005,2027-02-28,people,NONPOSTING_MANAGEMENT_VIEW,149888.7457,base,"ESS payroll split into technology 40%, finance 30%, people 30%; facility/vendor expense to technology; independent audit payroll to assurance. J2 mission and other corporate expense retained centrally. Existing statutory fees credited once, with no journal reposting.",18111.2548,corporate
100000.0000,2027-02-28,assurance,NONPOSTING_MANAGEMENT_VIEW,89219.4911,base,"ESS payroll split into technology 40%, finance 30%, people 30%; facility/vendor expense to technology; independent audit payroll to assurance. J2 mission and other corporate expense retained centrally. Existing statutory fees credited once, with no journal reposting.",10780.5089,corporate
337000.0006,2027-03-31,technology,NONPOSTING_MANAGEMENT_VIEW,300669.6858,base,"ESS payroll split into technology 40%, finance 30%, people 30%; facility/vendor expense to technology; independent audit payroll to assurance. J2 mission and other corporate expense retained centrally. Existing statutory fees credited once, with no journal reposting.",36330.3148,corporate
168000.0005,2027-03-31,finance,NONPOSTING_MANAGEMENT_VIEW,149888.7457,base,"ESS payroll split into technology 40%, finance 30%, people 30%; facility/vendor expense to technology; independent audit payroll to assurance. J2 mission and other corporate expense retained centrally. Existing statutory fees credited once, with no journal reposting.",18111.2548,corporate
168000.0005,2027-03-31,people,NONPOSTING_MANAGEMENT_VIEW,149888.7457,base,"ESS payroll split into technology 40%, finance 30%, people 30%; facility/vendor expense to technology; independent audit payroll to assurance. J2 mission and other corporate expense retained centrally. Existing statutory fees credited once, with no journal reposting.",18111.2548,corporate
100000.0000,2027-03-31,assurance,NONPOSTING_MANAGEMENT_VIEW,89219.4911,base,"ESS payroll split into technology 40%, finance 30%, people 30%; facility/vendor expense to technology; independent audit payroll to assurance. J2 mission and other corporate expense retained centrally. Existing statutory fees credited once, with no journal reposting.",10780.5089,corporate
