scenario,entity,year,month,preallocation_net_income_usd,book_only_fee_expense_usd,book_only_fee_revenue_usd,postallocation_net_income_usd,current_tax_change_from_allocation_usd,deferred_tax_change_from_allocation_usd,tax_treatment,available_at,created_on,record_origin,fact_state,period_role
base,SHI,2026,1,-787500.0000,0.0000,0.0000,-787500.0000,0.0000,0.0000,Book-only management allocation; no assumed income-tax deduction or recipient taxable-income uplift until legal tax characterization is established. Forecast operating-company tax is unchanged by this reporting charge.,2026-09-09T00:00:00Z,2026-09-09,PUBLIC_SYNTHETIC_PLANNING_MODEL,SYNTHETIC_SUCCESSOR_RECONSTRUCTION,SYNTHETIC_CALIBRATION_AND_FORECAST
base,SHIH,2026,1,-900000.0000,0.0000,0.0000,-900000.0000,0.0000,0.0000,Book-only management allocation; no assumed income-tax deduction or recipient taxable-income uplift until legal tax characterization is established. Forecast operating-company tax is unchanged by this reporting charge.,2026-09-09T00:00:00Z,2026-09-09,PUBLIC_SYNTHETIC_PLANNING_MODEL,SYNTHETIC_SUCCESSOR_RECONSTRUCTION,SYNTHETIC_CALIBRATION_AND_FORECAST
base,PS,2026,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Book-only management allocation; no assumed income-tax deduction or recipient taxable-income uplift until legal tax characterization is established. Forecast operating-company tax is unchanged by this reporting charge.,2026-09-09T00:00:00Z,2026-09-09,PUBLIC_SYNTHETIC_PLANNING_MODEL,SYNTHETIC_SUCCESSOR_RECONSTRUCTION,SYNTHETIC_CALIBRATION_AND_FORECAST
base,RWH,2026,1,78194.0000,0.0000,0.0000,78194.0000,0.0000,0.0000,Book-only management allocation; no assumed income-tax deduction or recipient taxable-income uplift until legal tax characterization is established. Forecast operating-company tax is unchanged by this reporting charge.,2026-09-09T00:00:00Z,2026-09-09,PUBLIC_SYNTHETIC_PLANNING_MODEL,SYNTHETIC_SUCCESSOR_RECONSTRUCTION,SYNTHETIC_CALIBRATION_AND_FORECAST
base,ARU,2026,1,63568.0000,0.0000,0.0000,63568.0000,0.0000,0.0000,Book-only management allocation; no assumed income-tax deduction or recipient taxable-income uplift until legal tax characterization is established. Forecast operating-company tax is unchanged by this reporting charge.,2026-09-09T00:00:00Z,2026-09-09,PUBLIC_SYNTHETIC_PLANNING_MODEL,SYNTHETIC_SUCCESSOR_RECONSTRUCTION,SYNTHETIC_CALIBRATION_AND_FORECAST
base,BST,2026,1,-168512.0000,0.0000,0.0000,-168512.0000,0.0000,0.0000,Book-only management allocation; no assumed income-tax deduction or recipient taxable-income uplift until legal tax characterization is established. Forecast operating-company tax is unchanged by this reporting charge.,2026-09-09T00:00:00Z,2026-09-09,PUBLIC_SYNTHETIC_PLANNING_MODEL,SYNTHETIC_SUCCESSOR_RECONSTRUCTION,SYNTHETIC_CALIBRATION_AND_FORECAST
base,SHI,2026,2,-808500.0000,0.0000,0.0000,-808500.0000,0.0000,0.0000,Book-only management allocation; no assumed income-tax deduction or recipient taxable-income uplift until legal tax characterization is established. Forecast operating-company tax is unchanged by this reporting charge.,2026-09-09T00:00:00Z,2026-09-09,PUBLIC_SYNTHETIC_PLANNING_MODEL,SYNTHETIC_SUCCESSOR_RECONSTRUCTION,SYNTHETIC_CALIBRATION_AND_FORECAST
base,SHIH,2026,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Book-only management allocation; no assumed income-tax deduction or recipient taxable-income uplift until legal tax characterization is established. Forecast operating-company tax is unchanged by this reporting charge.,2026-09-09T00:00:00Z,2026-09-09,PUBLIC_SYNTHETIC_PLANNING_MODEL,SYNTHETIC_SUCCESSOR_RECONSTRUCTION,SYNTHETIC_CALIBRATION_AND_FORECAST
base,PS,2026,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Book-only management allocation; no assumed income-tax deduction or recipient taxable-income uplift until legal tax characterization is established. Forecast operating-company tax is unchanged by this reporting charge.,2026-09-09T00:00:00Z,2026-09-09,PUBLIC_SYNTHETIC_PLANNING_MODEL,SYNTHETIC_SUCCESSOR_RECONSTRUCTION,SYNTHETIC_CALIBRATION_AND_FORECAST
base,RWH,2026,2,78194.0000,0.0000,0.0000,78194.0000,0.0000,0.0000,Book-only management allocation; no assumed income-tax deduction or recipient taxable-income uplift until legal tax characterization is established. Forecast operating-company tax is unchanged by this reporting charge.,2026-09-09T00:00:00Z,2026-09-09,PUBLIC_SYNTHETIC_PLANNING_MODEL,SYNTHETIC_SUCCESSOR_RECONSTRUCTION,SYNTHETIC_CALIBRATION_AND_FORECAST
