case,cost_family,annual_cost_usd_m,evidence_class
minimum_survival,executive_board_communications,55,SUPPORTED ESTIMATE
minimum_survival,finance_treasury_accounting_tax,105,SUPPORTED ESTIMATE
minimum_survival,legal_compliance_risk,85,SUPPORTED ESTIMATE
minimum_survival,internal_audit,20,SUPPORTED ESTIMATE
minimum_survival,people_culture,110,SUPPORTED ESTIMATE
minimum_survival,technology_total,950,SUPPORTED ESTIMATE
minimum_survival,procurement_safety_quality,60,SUPPORTED ESTIMATE
minimum_survival,facilities_hq,110,SUPPORTED ESTIMATE
minimum_survival,j2,95,SUPPORTED ESTIMATE
minimum_survival,insurance_professional_other,160,SUPPORTED ESTIMATE
healthy,executive_board_communications,65,SUPPORTED ESTIMATE
healthy,finance_treasury_accounting_tax,125,SUPPORTED ESTIMATE
healthy,legal_compliance_risk,100,SUPPORTED ESTIMATE
healthy,internal_audit,25,SUPPORTED ESTIMATE
healthy,people_culture,130,SUPPORTED ESTIMATE
healthy,technology_total,1200,SUPPORTED ESTIMATE
healthy,procurement_safety_quality,75,SUPPORTED ESTIMATE
healthy,facilities_hq,155,SUPPORTED ESTIMATE
healthy,j2,110,SUPPORTED ESTIMATE
healthy,insurance_professional_other,190,SUPPORTED ESTIMATE
high_performance,executive_board_communications,80,SUPPORTED ESTIMATE
high_performance,finance_treasury_accounting_tax,150,SUPPORTED ESTIMATE
high_performance,legal_compliance_risk,125,SUPPORTED ESTIMATE
high_performance,internal_audit,32,SUPPORTED ESTIMATE
high_performance,people_culture,160,SUPPORTED ESTIMATE
high_performance,technology_total,1550,SUPPORTED ESTIMATE
high_performance,procurement_safety_quality,95,SUPPORTED ESTIMATE
high_performance,facilities_hq,200,SUPPORTED ESTIMATE
high_performance,j2,130,SUPPORTED ESTIMATE
high_performance,insurance_professional_other,230,SUPPORTED ESTIMATE
canon_congruent_reference,executive_board_communications,22,SUPPORTED ESTIMATE
canon_congruent_reference,finance_treasury_accounting_tax,38,SUPPORTED ESTIMATE
canon_congruent_reference,legal_compliance_risk,31,SUPPORTED ESTIMATE
canon_congruent_reference,internal_audit,9,SUPPORTED ESTIMATE
canon_congruent_reference,people_culture,32,SUPPORTED ESTIMATE
canon_congruent_reference,technology_total,115,SUPPORTED ESTIMATE
canon_congruent_reference,procurement_safety_quality,19,SUPPORTED ESTIMATE
canon_congruent_reference,facilities_hq,42,SUPPORTED ESTIMATE
canon_congruent_reference,j2,82,SUPPORTED ESTIMATE
canon_congruent_reference,insurance_professional_other,55,SUPPORTED ESTIMATE
