journal_id,entity,year,month,segment,account,account_name,debit_usd,credit_usd,signed_usd,description,source_id,cash_flow,period_role,record_origin,fact_state,as_of_cutoff,effective_period_end,available_at
RWH_PS-2026-00001,RWH_PS,2026,0,ARU,1000,Cash,2000000,0,2000000,Explicit synthetic successor opening scenario; not historical audited balance sheet,RW-OPENING-SCENARIO,NONCASH_OR_OPENING,SYNTHETIC_CALIBRATION,PUBLIC_SYNTHETIC_DIEGETIC,LOCKED_DERIVED_IMPLEMENTATION,2026-09-05,2026-01-01,2026-09-05
RWH_PS-2026-00001,RWH_PS,2026,0,ARU,1100,"External receivables, net of allowance",4000000,0,4000000,Explicit synthetic successor opening scenario; not historical audited balance sheet,RW-OPENING-SCENARIO,NONCASH_OR_OPENING,SYNTHETIC_CALIBRATION,PUBLIC_SYNTHETIC_DIEGETIC,LOCKED_DERIVED_IMPLEMENTATION,2026-09-05,2026-01-01,2026-09-05
RWH_PS-2026-00001,RWH_PS,2026,0,ARU,1200,Inventory cash cost,5625000,0,5625000,Explicit synthetic successor opening scenario; not historical audited balance sheet,RW-OPENING-SCENARIO,NONCASH_OR_OPENING,SYNTHETIC_CALIBRATION,PUBLIC_SYNTHETIC_DIEGETIC,LOCKED_DERIVED_IMPLEMENTATION,2026-09-05,2026-01-01,2026-09-05
RWH_PS-2026-00001,RWH_PS,2026,0,ARU,1210,Inventory DD&A,687500,0,687500,Explicit synthetic successor opening scenario; not historical audited balance sheet,RW-OPENING-SCENARIO,NONCASH_OR_OPENING,SYNTHETIC_CALIBRATION,PUBLIC_SYNTHETIC_DIEGETIC,LOCKED_DERIVED_IMPLEMENTATION,2026-09-05,2026-01-01,2026-09-05
RWH_PS-2026-00001,RWH_PS,2026,0,ARU,1300,Prepaids,500000,0,500000,Explicit synthetic successor opening scenario; not historical audited balance sheet,RW-OPENING-SCENARIO,NONCASH_OR_OPENING,SYNTHETIC_CALIBRATION,PUBLIC_SYNTHETIC_DIEGETIC,LOCKED_DERIVED_IMPLEMENTATION,2026-09-05,2026-01-01,2026-09-05
RWH_PS-2026-00001,RWH_PS,2026,0,ARU,1400,PPE gross,50000000,0,50000000,Explicit synthetic successor opening scenario; not historical audited balance sheet,RW-OPENING-SCENARIO,NONCASH_OR_OPENING,SYNTHETIC_CALIBRATION,PUBLIC_SYNTHETIC_DIEGETIC,LOCKED_DERIVED_IMPLEMENTATION,2026-09-05,2026-01-01,2026-09-05
RWH_PS-2026-00001,RWH_PS,2026,0,ARU,2000,Trade payables,0,3000000,-3000000,Explicit synthetic successor opening scenario; not historical audited balance sheet,RW-OPENING-SCENARIO,NONCASH_OR_OPENING,SYNTHETIC_CALIBRATION,PUBLIC_SYNTHETIC_DIEGETIC,LOCKED_DERIVED_IMPLEMENTATION,2026-09-05,2026-01-01,2026-09-05
RWH_PS-2026-00001,RWH_PS,2026,0,ARU,2200,Environmental reserve / ARO,0,16467716,-16467716,Explicit synthetic successor opening scenario; not historical audited balance sheet,RW-OPENING-SCENARIO,NONCASH_OR_OPENING,SYNTHETIC_CALIBRATION,PUBLIC_SYNTHETIC_DIEGETIC,LOCKED_DERIVED_IMPLEMENTATION,2026-09-05,2026-01-01,2026-09-05
RWH_PS-2026-00001,RWH_PS,2026,0,ARU,2300,Claim reserve / other liabilities,0,2500000,-2500000,Explicit synthetic successor opening scenario; not historical audited balance sheet,RW-OPENING-SCENARIO,NONCASH_OR_OPENING,SYNTHETIC_CALIBRATION,PUBLIC_SYNTHETIC_DIEGETIC,LOCKED_DERIVED_IMPLEMENTATION,2026-09-05,2026-01-01,2026-09-05
RWH_PS-2026-00001,RWH_PS,2026,0,ARU,3000,Contributed equity,0,44312500,-44312500,Explicit synthetic successor opening scenario; not historical audited balance sheet,RW-OPENING-SCENARIO,NONCASH_OR_OPENING,SYNTHETIC_CALIBRATION,PUBLIC_SYNTHETIC_DIEGETIC,LOCKED_DERIVED_IMPLEMENTATION,2026-09-05,2026-01-01,2026-09-05
RWH_PS-2026-00001,RWH_PS,2026,0,ARU,3100,Prior retained earnings,3467716,0,3467716,Explicit synthetic successor opening scenario; not historical audited balance sheet,RW-OPENING-SCENARIO,NONCASH_OR_OPENING,SYNTHETIC_CALIBRATION,PUBLIC_SYNTHETIC_DIEGETIC,LOCKED_DERIVED_IMPLEMENTATION,2026-09-05,2026-01-01,2026-09-05
RWH_PS-2026-00002,RWH_PS,2026,1,RWH,1100,"External receivables, net of allowance",3039584,0,3039584,Selected contract book revenue; annual baseline allocated monthly,RW-CONTRACT-2026,NONCASH_OR_OPENING,SYNTHETIC_CALIBRATION,PUBLIC_SYNTHETIC_DIEGETIC,LOCKED_DERIVED_IMPLEMENTATION,2026-09-05,2026-01-31,2026-09-05
RWH_PS-2026-00002,RWH_PS,2026,1,RWH,4000,External revenue,0,3039584,-3039584,Selected contract book revenue; annual baseline allocated monthly,RW-CONTRACT-2026,NONCASH_OR_OPENING,SYNTHETIC_CALIBRATION,PUBLIC_SYNTHETIC_DIEGETIC,LOCKED_DERIVED_IMPLEMENTATION,2026-09-05,2026-01-31,2026-09-05
RWH_PS-2026-00003,RWH_PS,2026,1,RWH,1100,"External receivables, net of allowance",0,2993750,-2993750,Collections net of disclosed other working-capital use allocated to AR,RW-AR-ASSUMPTION,OPERATING,SYNTHETIC_CALIBRATION,PUBLIC_SYNTHETIC_DIEGETIC,LOCKED_DERIVED_IMPLEMENTATION,2026-09-05,2026-01-31,2026-09-05
RWH_PS-2026-00003,RWH_PS,2026,1,RWH,1000,Cash,2993750,0,2993750,Collections net of disclosed other working-capital use allocated to AR,RW-AR-ASSUMPTION,OPERATING,SYNTHETIC_CALIBRATION,PUBLIC_SYNTHETIC_DIEGETIC,LOCKED_DERIVED_IMPLEMENTATION,2026-09-05,2026-01-31,2026-09-05
RWH_PS-2026-00004,RWH_PS,2026,1,RWH,1200,Inventory cash cost,2329167,0,2329167,Selected production cost incurred,RW-COST,NONCASH_OR_OPENING,SYNTHETIC_CALIBRATION,PUBLIC_SYNTHETIC_DIEGETIC,LOCKED_DERIVED_IMPLEMENTATION,2026-09-05,2026-01-31,2026-09-05
RWH_PS-2026-00004,RWH_PS,2026,1,RWH,2000,Trade payables,0,2329167,-2329167,Selected production cost incurred,RW-COST,NONCASH_OR_OPENING,SYNTHETIC_CALIBRATION,PUBLIC_SYNTHETIC_DIEGETIC,LOCKED_DERIVED_IMPLEMENTATION,2026-09-05,2026-01-31,2026-09-05
RWH_PS-2026-00005,RWH_PS,2026,1,RWH,2000,Trade payables,2329167,0,2329167,Production cost payments,RW-COST,OPERATING,SYNTHETIC_CALIBRATION,PUBLIC_SYNTHETIC_DIEGETIC,LOCKED_DERIVED_IMPLEMENTATION,2026-09-05,2026-01-31,2026-09-05
RWH_PS-2026-00005,RWH_PS,2026,1,RWH,1000,Cash,0,2329167,-2329167,Production cost payments,RW-COST,OPERATING,SYNTHETIC_CALIBRATION,PUBLIC_SYNTHETIC_DIEGETIC,LOCKED_DERIVED_IMPLEMENTATION,2026-09-05,2026-01-31,2026-09-05
RWH_PS-2026-00006,RWH_PS,2026,1,RWH,1210,Inventory DD&A,291667,0,291667,Selected production DD&A capitalized into inventory,RW-DDA,NONCASH_OR_OPENING,SYNTHETIC_CALIBRATION,PUBLIC_SYNTHETIC_DIEGETIC,LOCKED_DERIVED_IMPLEMENTATION,2026-09-05,2026-01-31,2026-09-05
