source_id,organization,title,url,use,state,publication_date,accessed_date,covered_period,geography,unit,method,transformation,limitations
NRC-UR,U.S. Nuclear Regulatory Commission,Uranium Recovery,https://www.nrc.gov/materials/uranium-recovery,Source-material regulatory architecture,EXTERNAL_RESEARCH,undated-current-page,2026-09-05,current framework,United States,not applicable,authoritative agency guidance,qualitative framework mapping,Does not validate any synthetic Red Wash permit or fact
NRC-CM,U.S. Nuclear Regulatory Commission,Conventional Uranium Mills,https://www.nrc.gov/materials/uranium-recovery/extraction-methods/conventional-mills,Conventional mill and tailings architecture,EXTERNAL_RESEARCH,undated-current-page,2026-09-05,current framework,United States,not applicable,authoritative agency guidance,qualitative framework mapping,Does not establish site-specific licensing or design
NRC-MT,U.S. Nuclear Regulatory Commission,Uranium Mill Tailings,https://www.nrc.gov/waste/mill-tailings,Decommissioning groundwater surety and surveillance,EXTERNAL_RESEARCH,undated-current-page,2026-09-05,current framework,United States,not applicable,authoritative agency guidance,qualitative framework mapping,Does not establish Red Wash closure scope or cost
EPA-192,U.S. Environmental Protection Agency,40 CFR Part 192,https://www.epa.gov/radiation/health-and-environmental-protection-standards-uranium-and-thorium-mill-tailings-40-cfr,Uranium mill-tailings standards,EXTERNAL_RESEARCH,undated-current-page,2026-09-05,current framework,United States,not applicable,authoritative agency guidance,qualitative framework mapping,Does not validate fictional tailings records
EPA-W,U.S. Environmental Protection Agency,Subpart W,https://www.epa.gov/radiation/subpart-w-national-emission-standards-radon-emissions-operating-mill-tailings,Radon controls for operating tailings,EXTERNAL_RESEARCH,undated-current-page,2026-09-05,current framework,United States,not applicable,authoritative agency guidance,qualitative framework mapping,Does not validate fictional monitoring data
WDEQ-UR,Wyoming Department of Environmental Quality,Uranium Recovery Program,https://deq.wyoming.gov/land-quality/uranium/,Wyoming uranium licensing,EXTERNAL_RESEARCH,undated-current-page,2026-09-05,current framework,Wyoming,not applicable,authoritative state-program guidance,qualitative framework mapping,Does not validate any synthetic license or permit number
WDEQ-LQ,Wyoming Department of Environmental Quality,Land Quality Division,https://deq.wyoming.gov/land-quality/,Mine permitting and reclamation,EXTERNAL_RESEARCH,undated-current-page,2026-09-05,current framework,Wyoming,not applicable,authoritative state-program guidance,qualitative framework mapping,Does not validate any synthetic mine permit
BLM-3809,Bureau of Land Management,Surface Management,https://www.blm.gov/programs/energy-and-minerals/mining-and-minerals/locatable-materials/surface-management,43 CFR 3809 and NEPA framework,EXTERNAL_RESEARCH,undated-current-page,2026-09-05,current framework,United States federal lands,not applicable,authoritative agency guidance,qualitative framework mapping,Applicability depends on actual land and mineral tenure
EIA-UMAR,U.S. Energy Information Administration,Uranium Marketing Annual Report,https://www.eia.gov/uranium/marketing/index.php,Utility uranium contracts and delivered-price context,EXTERNAL_RESEARCH,2026-05-21,2026-09-05,calendar 2025,United States utility market,USD per pound U3O8,official survey summary,used only as external pricing context,Utility delivered prices are not spot quotes or proof of Red Wash realization
MSHA,Mine Safety and Health Administration,Standards and Regulations,https://www.msha.gov/regulations/standards-regulations,Metal and nonmetal mine-safety framework,EXTERNAL_RESEARCH,undated-current-page,2026-09-05,current framework,United States mines,not applicable,authoritative agency source,qualitative framework mapping,Does not validate fictional inspection or incident history
PHMSA,Pipeline and Hazardous Materials Safety Administration,Regulations,https://www.phmsa.dot.gov/regulations,Hazardous-material transport framework,EXTERNAL_RESEARCH,undated-current-page,2026-09-05,current framework,United States,not applicable,authoritative agency source,qualitative framework mapping,Does not establish carrier authority or approve uranium custody
ATRI-OC-2025,American Transportation Research Institute,An Analysis of the Operational Costs of Trucking 2025,https://truckingresearch.org/2025/07/new-atri-report-shows-trucking-profitability-severly-squeezed-by-high-costs-low-rates/,Carrier cost and margin pressure before the Red Wash close,EXTERNAL_RESEARCH,2025-07-01,2026-09-05,principally calendar 2024 with data collected February-May 2025,United States for-hire trucking,USD per mile and percent,industry survey covering 178091 combination tractors,used as a supported market-pressure anchor,Aggregate survey does not prove conditions for a particular carrier or lane
CIAB-PC-2025-Q1,The Council of Insurance Agents & Brokers,Q1 2025 P/C Market Survey,https://alt.ciab.com/resources/news-releasemost-lines-of-business-softening-litigation-influencing-others-the-councils-q1-2025-p-c-market-survey-shows/,Commercial-auto and umbrella premium pressure,EXTERNAL_RESEARCH,2025-05-15,2026-09-05,2025 Q1,United States commercial insurance market,percent premium change,broker survey,used as an insurance-cost pressure anchor,All-industry survey rather than a carrier-specific quotation
FOMC-2025-06,Federal Reserve Board,FOMC statement June 18 2025,https://www.federalreserve.gov/newsevents/pressreleases/monetary20250618a.htm,Financing environment known before closing,EXTERNAL_RESEARCH,2025-06-18,2026-09-05,2025-06-18,United States,percent target range,official policy statement,used as macro financing context,Policy rate is not a carrier borrowing rate or credit decision
EIA-RM-DIESEL-2025-07,U.S. Energy Information Administration,Rocky Mountain No. 2 Diesel Retail Prices,https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?f=W&n=PET&s=EMD_EPD2D_PTE_R40_DPG,Fuel-cost and working-capital context,EXTERNAL_RESEARCH,2025-07-14,2026-09-05,week of 2025-07-14,Rocky Mountain region,USD per gallon,official weekly retail price series,selected contemporaneous observation,Regional retail price including taxes is not a fleet net cost
JBHT-Q2-2025,J.B. Hunt Transport Services,Q2 2025 Earnings Release and Schedules,https://www.jbhunt.com/content/dam/jbhunt/jbh/investor-relations/documents/earnings-releases/Q2_2025_Earnings_Release_and_Schedules.pdf,Uneven modal demand yield and capacity management,EXTERNAL_RESEARCH,2025-07-15,2026-09-05,quarter ended 2025-06-30,United States multimodal freight,loads revenue and tractor counts,issuer primary-source release,used as a market-mechanics comparison,One large diversified carrier is not representative of a small regional carrier
BLS-PPI-2025-06,U.S. Bureau of Labor Statistics,Producer Price Index June 2025,https://www.bls.gov/news.release/archives/ppi_07162025.htm,Equipment replacement-cost pressure known before closing,EXTERNAL_RESEARCH,2025-07-16,2026-09-05,June 2025,United States,percent index change,official statistical release,used as equipment-cost context,Index change does not establish availability or a carrier purchase quotation
DAT-TL-2025-06,DAT Freight & Analytics,Truckload Volumes Retreated in June Amid Weak Seasonal Demand,https://www.dat.com/company/news-events/news-releases/dat-truckload-volumes-retreated-in-june-amid-weak-seasonal-demand,Soft and uneven truckload demand before closing,EXTERNAL_RESEARCH,2025-07-16,2026-09-05,June 2025,United States truckload market,load volumes and USD per mile,proprietary invoice and load-board sample,used as a market-demand comparison,Sample excludes portions of private dedicated short-haul and route-specific activity
FRB-BEIGE-2025-07,Federal Reserve Board,Beige Book July 2025,https://www.federalreserve.gov/monetarypolicy/beigebook202507-summary.htm,Contemporaneous freight demand cost and uncertainty context,EXTERNAL_RESEARCH,2025-07-16,2026-09-05,information collected through 2025-07-07,United States with district observations,qualitative,official synthesis of business contacts,used as point-in-time market context,Qualitative nonrandom contacts do not establish a particular Wyoming lane
TFII-Q2-2025,TFI International,Q2 2025 Results,https://www.sec.gov/Archives/edgar/data/1588823/000095017025099171/tfii-ex99_2.htm,Retrospective evidence that tuck-in consolidation was an active carrier strategy,EXTERNAL_RESEARCH_RETROSPECTIVE,2025-07-28,2026-09-05,quarter ended 2025-06-30,North American trucking and logistics,acquisition and operating disclosures,issuer filing furnished through SEC,retrospective corroboration only because publication followed Red Wash close,Does not prove distress or a particular fictional consolidation
STB-UPNS-2025,U.S. Surface Transportation Board,STB Receives Notice of Proposed Union Pacific and Norfolk Southern Transaction,https://www.stb.gov/news-communications/latest-news/pr-25-27/,Retrospective evidence of rail-consolidation uncertainty,EXTERNAL_RESEARCH_RETROSPECTIVE,2025-07-30,2026-09-05,2025-07-30,United States rail market,not applicable,official regulatory notice,retrospective corroboration only because publication followed Red Wash close,Proposed transaction was not approved and had not changed Red Wash service
SLOOS-2025-07,Federal Reserve Board,July 2025 Senior Loan Officer Opinion Survey,https://www.federalreserve.gov/data/sloos/sloos-202507.htm,Retrospective credit-conditions context,EXTERNAL_RESEARCH_RETROSPECTIVE,2025-08-04,2026-09-05,responses collected 2025-06-18 through 2025-07-02,United States bank lending,qualitative and percent responses,official bank survey,retrospective corroboration only because publication followed Red Wash close,Cross-industry survey is not a carrier-specific credit result
