account,account_type,available_at,cash_flow,credit_usd,debit_usd,description,entity,fact_state,journal_id,month,month_index,period,scenario,segment,signed_usd,source_id,source_type,unit,year
BIZ_AR,asset,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,0.0000,1740000.0000,Annual subscription billing,SHI,CONDITIONAL_FORECAST,BIZ-base-0000014,1,1,2027-01-31,base,FOUNDRY_FIELD,1740000.0000,base-01-INVOICE-INV-base-FF-003-TERM-0,BUSINESS_DRIVEN_FORECAST,foundry-field,2027
BIZ_DEFERRED,liability,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,1740000.0000,0.0000,Annual subscription billing,SHI,CONDITIONAL_FORECAST,BIZ-base-0000014,1,1,2027-01-31,base,FOUNDRY_FIELD,-1740000.0000,base-01-INVOICE-INV-base-FF-003-TERM-0,BUSINESS_DRIVEN_FORECAST,foundry-field,2027
BIZ_DEFERRED,liability,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,0.0000,145000.0000,Monthly service under effective contract version,SHI,CONDITIONAL_FORECAST,BIZ-base-0000015,1,1,2027-01-31,base,FOUNDRY_FIELD,145000.0000,base-01-SUBSCRIPTION_SERVICE-FF-003,BUSINESS_DRIVEN_FORECAST,foundry-field,2027
BIZ_REVENUE,revenue,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,145000.0000,0.0000,Monthly service under effective contract version,SHI,CONDITIONAL_FORECAST,BIZ-base-0000015,1,1,2027-01-31,base,FOUNDRY_FIELD,-145000.0000,base-01-SUBSCRIPTION_SERVICE-FF-003,BUSINESS_DRIVEN_FORECAST,foundry-field,2027
BIZ_DELIVERY,expense,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,0.0000,3600.0000,Source-driven vendor cost,SHI,CONDITIONAL_FORECAST,BIZ-base-0000016,1,1,2027-01-31,base,FOUNDRY_FIELD,3600.0000,base-01-COST-HOSTING-FF-003,BUSINESS_DRIVEN_FORECAST,foundry-field,2027
BIZ_AP,liability,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,3600.0000,0.0000,Source-driven vendor cost,SHI,CONDITIONAL_FORECAST,BIZ-base-0000016,1,1,2027-01-31,base,FOUNDRY_FIELD,-3600.0000,base-01-COST-HOSTING-FF-003,BUSINESS_DRIVEN_FORECAST,foundry-field,2027
1000,asset,2026-09-09T00:00:00Z,OPERATING,0.0000,435000.0000,Modeled customer receipt,SHI,CONDITIONAL_FORECAST,BIZ-base-0000138,2,2,2027-02-28,base,FOUNDRY_FIELD,435000.0000,base-02-COLLECTION-INV-base-FF-003-TERM-0,BUSINESS_DRIVEN_FORECAST,foundry-field,2027
BIZ_AR,asset,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,435000.0000,0.0000,Modeled customer receipt,SHI,CONDITIONAL_FORECAST,BIZ-base-0000138,2,2,2027-02-28,base,FOUNDRY_FIELD,-435000.0000,base-02-COLLECTION-INV-base-FF-003-TERM-0,BUSINESS_DRIVEN_FORECAST,foundry-field,2027
BIZ_AP,liability,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,0.0000,3600.0000,Scheduled vendor cash request; treasury shortfalls separately reported,SHI,CONDITIONAL_FORECAST,BIZ-base-0000178,2,2,2027-02-28,base,FOUNDRY_FIELD,3600.0000,base-02-PAYMENT_REQUEST-AP-base-1-HOSTING-FF-003,BUSINESS_DRIVEN_FORECAST,foundry-field,2027
1000,asset,2026-09-09T00:00:00Z,OPERATING,3600.0000,0.0000,Scheduled vendor cash request; treasury shortfalls separately reported,SHI,CONDITIONAL_FORECAST,BIZ-base-0000178,2,2,2027-02-28,base,FOUNDRY_FIELD,-3600.0000,base-02-PAYMENT_REQUEST-AP-base-1-HOSTING-FF-003,BUSINESS_DRIVEN_FORECAST,foundry-field,2027
BIZ_DEFERRED,liability,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,0.0000,145000.0000,Monthly service under effective contract version,SHI,CONDITIONAL_FORECAST,BIZ-base-0000231,2,2,2027-02-28,base,FOUNDRY_FIELD,145000.0000,base-02-SUBSCRIPTION_SERVICE-FF-003,BUSINESS_DRIVEN_FORECAST,foundry-field,2027
BIZ_REVENUE,revenue,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,145000.0000,0.0000,Monthly service under effective contract version,SHI,CONDITIONAL_FORECAST,BIZ-base-0000231,2,2,2027-02-28,base,FOUNDRY_FIELD,-145000.0000,base-02-SUBSCRIPTION_SERVICE-FF-003,BUSINESS_DRIVEN_FORECAST,foundry-field,2027
BIZ_DELIVERY,expense,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,0.0000,3600.0000,Source-driven vendor cost,SHI,CONDITIONAL_FORECAST,BIZ-base-0000232,2,2,2027-02-28,base,FOUNDRY_FIELD,3600.0000,base-02-COST-HOSTING-FF-003,BUSINESS_DRIVEN_FORECAST,foundry-field,2027
BIZ_AP,liability,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,3600.0000,0.0000,Source-driven vendor cost,SHI,CONDITIONAL_FORECAST,BIZ-base-0000232,2,2,2027-02-28,base,FOUNDRY_FIELD,-3600.0000,base-02-COST-HOSTING-FF-003,BUSINESS_DRIVEN_FORECAST,foundry-field,2027
BIZ_AP,liability,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,0.0000,3600.0000,Scheduled vendor cash request; treasury shortfalls separately reported,SHI,CONDITIONAL_FORECAST,BIZ-base-0000344,3,3,2027-03-31,base,FOUNDRY_FIELD,3600.0000,base-03-PAYMENT_REQUEST-AP-base-2-HOSTING-FF-003,BUSINESS_DRIVEN_FORECAST,foundry-field,2027
1000,asset,2026-09-09T00:00:00Z,OPERATING,3600.0000,0.0000,Scheduled vendor cash request; treasury shortfalls separately reported,SHI,CONDITIONAL_FORECAST,BIZ-base-0000344,3,3,2027-03-31,base,FOUNDRY_FIELD,-3600.0000,base-03-PAYMENT_REQUEST-AP-base-2-HOSTING-FF-003,BUSINESS_DRIVEN_FORECAST,foundry-field,2027
BIZ_DEFERRED,liability,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,0.0000,145000.0000,Monthly service under effective contract version,SHI,CONDITIONAL_FORECAST,BIZ-base-0000402,3,3,2027-03-31,base,FOUNDRY_FIELD,145000.0000,base-03-SUBSCRIPTION_SERVICE-FF-003,BUSINESS_DRIVEN_FORECAST,foundry-field,2027
BIZ_REVENUE,revenue,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,145000.0000,0.0000,Monthly service under effective contract version,SHI,CONDITIONAL_FORECAST,BIZ-base-0000402,3,3,2027-03-31,base,FOUNDRY_FIELD,-145000.0000,base-03-SUBSCRIPTION_SERVICE-FF-003,BUSINESS_DRIVEN_FORECAST,foundry-field,2027
BIZ_DELIVERY,expense,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,0.0000,3600.0000,Source-driven vendor cost,SHI,CONDITIONAL_FORECAST,BIZ-base-0000403,3,3,2027-03-31,base,FOUNDRY_FIELD,3600.0000,base-03-COST-HOSTING-FF-003,BUSINESS_DRIVEN_FORECAST,foundry-field,2027
BIZ_AP,liability,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,3600.0000,0.0000,Source-driven vendor cost,SHI,CONDITIONAL_FORECAST,BIZ-base-0000403,3,3,2027-03-31,base,FOUNDRY_FIELD,-3600.0000,base-03-COST-HOSTING-FF-003,BUSINESS_DRIVEN_FORECAST,foundry-field,2027
BIZ_AP,liability,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,0.0000,3600.0000,Scheduled vendor cash request; treasury shortfalls separately reported,SHI,CONDITIONAL_FORECAST,BIZ-base-0000529,4,4,2027-04-30,base,FOUNDRY_FIELD,3600.0000,base-04-PAYMENT_REQUEST-AP-base-3-HOSTING-FF-003,BUSINESS_DRIVEN_FORECAST,foundry-field,2027
1000,asset,2026-09-09T00:00:00Z,OPERATING,3600.0000,0.0000,Scheduled vendor cash request; treasury shortfalls separately reported,SHI,CONDITIONAL_FORECAST,BIZ-base-0000529,4,4,2027-04-30,base,FOUNDRY_FIELD,-3600.0000,base-04-PAYMENT_REQUEST-AP-base-3-HOSTING-FF-003,BUSINESS_DRIVEN_FORECAST,foundry-field,2027
BIZ_DEFERRED,liability,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,0.0000,145000.0000,Monthly service under effective contract version,SHI,CONDITIONAL_FORECAST,BIZ-base-0000594,4,4,2027-04-30,base,FOUNDRY_FIELD,145000.0000,base-04-SUBSCRIPTION_SERVICE-FF-003,BUSINESS_DRIVEN_FORECAST,foundry-field,2027
BIZ_REVENUE,revenue,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,145000.0000,0.0000,Monthly service under effective contract version,SHI,CONDITIONAL_FORECAST,BIZ-base-0000594,4,4,2027-04-30,base,FOUNDRY_FIELD,-145000.0000,base-04-SUBSCRIPTION_SERVICE-FF-003,BUSINESS_DRIVEN_FORECAST,foundry-field,2027
BIZ_DELIVERY,expense,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,0.0000,3600.0000,Source-driven vendor cost,SHI,CONDITIONAL_FORECAST,BIZ-base-0000595,4,4,2027-04-30,base,FOUNDRY_FIELD,3600.0000,base-04-COST-HOSTING-FF-003,BUSINESS_DRIVEN_FORECAST,foundry-field,2027
BIZ_AP,liability,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,3600.0000,0.0000,Source-driven vendor cost,SHI,CONDITIONAL_FORECAST,BIZ-base-0000595,4,4,2027-04-30,base,FOUNDRY_FIELD,-3600.0000,base-04-COST-HOSTING-FF-003,BUSINESS_DRIVEN_FORECAST,foundry-field,2027
BIZ_AP,liability,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,0.0000,3600.0000,Scheduled vendor cash request; treasury shortfalls separately reported,SHI,CONDITIONAL_FORECAST,BIZ-base-0000723,5,5,2027-05-31,base,FOUNDRY_FIELD,3600.0000,base-05-PAYMENT_REQUEST-AP-base-4-HOSTING-FF-003,BUSINESS_DRIVEN_FORECAST,foundry-field,2027
1000,asset,2026-09-09T00:00:00Z,OPERATING,3600.0000,0.0000,Scheduled vendor cash request; treasury shortfalls separately reported,SHI,CONDITIONAL_FORECAST,BIZ-base-0000723,5,5,2027-05-31,base,FOUNDRY_FIELD,-3600.0000,base-05-PAYMENT_REQUEST-AP-base-4-HOSTING-FF-003,BUSINESS_DRIVEN_FORECAST,foundry-field,2027
BIZ_DEFERRED,liability,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,0.0000,145000.0000,Monthly service under effective contract version,SHI,CONDITIONAL_FORECAST,BIZ-base-0000789,5,5,2027-05-31,base,FOUNDRY_FIELD,145000.0000,base-05-SUBSCRIPTION_SERVICE-FF-003,BUSINESS_DRIVEN_FORECAST,foundry-field,2027
BIZ_REVENUE,revenue,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,145000.0000,0.0000,Monthly service under effective contract version,SHI,CONDITIONAL_FORECAST,BIZ-base-0000789,5,5,2027-05-31,base,FOUNDRY_FIELD,-145000.0000,base-05-SUBSCRIPTION_SERVICE-FF-003,BUSINESS_DRIVEN_FORECAST,foundry-field,2027
BIZ_DELIVERY,expense,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,0.0000,3600.0000,Source-driven vendor cost,SHI,CONDITIONAL_FORECAST,BIZ-base-0000790,5,5,2027-05-31,base,FOUNDRY_FIELD,3600.0000,base-05-COST-HOSTING-FF-003,BUSINESS_DRIVEN_FORECAST,foundry-field,2027
BIZ_AP,liability,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,3600.0000,0.0000,Source-driven vendor cost,SHI,CONDITIONAL_FORECAST,BIZ-base-0000790,5,5,2027-05-31,base,FOUNDRY_FIELD,-3600.0000,base-05-COST-HOSTING-FF-003,BUSINESS_DRIVEN_FORECAST,foundry-field,2027
BIZ_CREDIT_LOSS,expense,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,0.0000,1305000.0000,Explicit synthetic default writes off remaining claim; allowance releases at close,SHI,CONDITIONAL_FORECAST,BIZ-base-0000904,6,6,2027-06-30,base,FOUNDRY_FIELD,1305000.0000,base-06-CREDIT_WRITEOFF-INV-base-FF-003-TERM-0,BUSINESS_DRIVEN_FORECAST,foundry-field,2027
BIZ_AR,asset,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,1305000.0000,0.0000,Explicit synthetic default writes off remaining claim; allowance releases at close,SHI,CONDITIONAL_FORECAST,BIZ-base-0000904,6,6,2027-06-30,base,FOUNDRY_FIELD,-1305000.0000,base-06-CREDIT_WRITEOFF-INV-base-FF-003-TERM-0,BUSINESS_DRIVEN_FORECAST,foundry-field,2027
BIZ_AP,liability,2026-09-09T00:00:00Z,NONCASH_OR_OPENING,0.0000,3600.0000,Scheduled vendor cash request; treasury shortfalls separately reported,SHI,CONDITIONAL_FORECAST,BIZ-base-0000913,6,6,2027-06-30,base,FOUNDRY_FIELD,3600.0000,base-06-PAYMENT_REQUEST-AP-base-5-HOSTING-FF-003,BUSINESS_DRIVEN_FORECAST,foundry-field,2027
1000,asset,2026-09-09T00:00:00Z,OPERATING,3600.0000,0.0000,Scheduled vendor cash request; treasury shortfalls separately reported,SHI,CONDITIONAL_FORECAST,BIZ-base-0000913,6,6,2027-06-30,base,FOUNDRY_FIELD,-3600.0000,base-06-PAYMENT_REQUEST-AP-base-5-HOSTING-FF-003,BUSINESS_DRIVEN_FORECAST,foundry-field,2027
