analytical_allocated_opex_usd,analytical_margin_usd,annual_reserved_capacity_accessorial_usd,annual_revenue_usd,annual_units,as_of_cutoff,available_at,commodity,contract_id,cost_allocation_method,customer_id,effective_period_end,fact_state,minimum_commitment,origin_destination,period_role,price_escalator,record_origin,renewal_date,reporting_unit,segment,term_end,term_start,unit,unit_price_usd
2958065,316935,250000,3275000,2200,2026-09-05,2026-09-05,minerals,BST-2025-001,Segment cost shared per revenue-dollar for disclosed analytical margin only; not a quoted customer incremental cost,ARU-C-001,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,Annual fixed accessorial/space reservation; car fees charged on actual movement,Fictional customer siding/Taylor to Union Pacific interchange at Wamsutter,SYNTHETIC_HISTORICAL_CASE,2% annual modeled 2026 index; synthetic commercial assumption,PUBLIC_SYNTHETIC_DIEGETIC,2027-12-31,american-resource-utility,BST,2027-12-31,2023-01-01,loaded_revenue_car,1375
1270161,136089,100000,1406250,950,2026-09-05,2026-09-05,minerals,BST-2025-006,Segment cost shared per revenue-dollar for disclosed analytical margin only; not a quoted customer incremental cost,ARU-C-006,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,Annual fixed accessorial/space reservation; car fees charged on actual movement,Fictional customer siding/Taylor to Union Pacific interchange at Wamsutter,SYNTHETIC_HISTORICAL_CASE,2% annual modeled 2026 index; synthetic commercial assumption,PUBLIC_SYNTHETIC_DIEGETIC,2027-12-31,american-resource-utility,BST,2027-12-31,2023-01-01,loaded_revenue_car,1375
2206129,236371,200000,2442500,1150,2026-09-05,2026-09-05,energy,BST-2025-002,Segment cost shared per revenue-dollar for disclosed analytical margin only; not a quoted customer incremental cost,ARU-C-002,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,Annual fixed accessorial/space reservation; car fees charged on actual movement,Fictional customer siding/Taylor to Union Pacific interchange at Wamsutter,SYNTHETIC_HISTORICAL_CASE,2% annual modeled 2026 index; synthetic commercial assumption,PUBLIC_SYNTHETIC_DIEGETIC,2026-11-30,american-resource-utility,BST,2026-11-30,2023-01-01,loaded_revenue_car,1950
993548,106452,125000,1100000,500,2026-09-05,2026-09-05,energy,BST-2025-007,Segment cost shared per revenue-dollar for disclosed analytical margin only; not a quoted customer incremental cost,ARU-C-007,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,Annual fixed accessorial/space reservation; car fees charged on actual movement,Fictional customer siding/Taylor to Union Pacific interchange at Wamsutter,SYNTHETIC_HISTORICAL_CASE,2% annual modeled 2026 index; synthetic commercial assumption,PUBLIC_SYNTHETIC_DIEGETIC,2027-12-31,american-resource-utility,BST,2027-12-31,2023-01-01,loaded_revenue_car,1950
1142581,122419,140000,1265000,900,2026-09-05,2026-09-05,aggregates,BST-2025-004,Segment cost shared per revenue-dollar for disclosed analytical margin only; not a quoted customer incremental cost,ARU-C-004,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,Annual fixed accessorial/space reservation; car fees charged on actual movement,Fictional customer siding/Taylor to Union Pacific interchange at Wamsutter,SYNTHETIC_HISTORICAL_CASE,2% annual modeled 2026 index; synthetic commercial assumption,PUBLIC_SYNTHETIC_DIEGETIC,2027-12-31,american-resource-utility,BST,2027-12-31,2023-01-01,loaded_revenue_car,1250
575806,61694,75000,637500,450,2026-09-05,2026-09-05,aggregates,BST-2025-008,Segment cost shared per revenue-dollar for disclosed analytical margin only; not a quoted customer incremental cost,ARU-C-008,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,Annual fixed accessorial/space reservation; car fees charged on actual movement,Fictional customer siding/Taylor to Union Pacific interchange at Wamsutter,SYNTHETIC_HISTORICAL_CASE,2% annual modeled 2026 index; synthetic commercial assumption,PUBLIC_SYNTHETIC_DIEGETIC,2027-12-31,american-resource-utility,BST,2027-12-31,2023-01-01,loaded_revenue_car,1250
1352581,144919,150000,1497500,700,2026-09-05,2026-09-05,chemicals_metals,BST-2025-003,Segment cost shared per revenue-dollar for disclosed analytical margin only; not a quoted customer incremental cost,ARU-C-003,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,Annual fixed accessorial/space reservation; car fees charged on actual movement,Fictional customer siding/Taylor to Union Pacific interchange at Wamsutter,SYNTHETIC_HISTORICAL_CASE,2% annual modeled 2026 index; synthetic commercial assumption,PUBLIC_SYNTHETIC_DIEGETIC,2027-12-31,american-resource-utility,BST,2027-12-31,2023-01-01,loaded_revenue_car,1925
707903,75847,110000,783750,350,2026-09-05,2026-09-05,chemicals_metals,BST-2025-009,Segment cost shared per revenue-dollar for disclosed analytical margin only; not a quoted customer incremental cost,ARU-C-009,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,Annual fixed accessorial/space reservation; car fees charged on actual movement,Fictional customer siding/Taylor to Union Pacific interchange at Wamsutter,SYNTHETIC_HISTORICAL_CASE,2% annual modeled 2026 index; synthetic commercial assumption,PUBLIC_SYNTHETIC_DIEGETIC,2027-12-31,american-resource-utility,BST,2027-12-31,2023-01-01,loaded_revenue_car,1925
659355,70645,80000,730000,500,2026-09-05,2026-09-05,agriculture,BST-2025-010,Segment cost shared per revenue-dollar for disclosed analytical margin only; not a quoted customer incremental cost,ARU-C-010,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,Annual fixed accessorial/space reservation; car fees charged on actual movement,Fictional customer siding/Taylor to Union Pacific interchange at Wamsutter,SYNTHETIC_HISTORICAL_CASE,2% annual modeled 2026 index; synthetic commercial assumption,PUBLIC_SYNTHETIC_DIEGETIC,2027-12-31,american-resource-utility,BST,2027-12-31,2023-01-01,loaded_revenue_car,1300
356774,38226,70000,395000,250,2026-09-05,2026-09-05,agriculture,BST-2025-011,Segment cost shared per revenue-dollar for disclosed analytical margin only; not a quoted customer incremental cost,ARU-C-011,2025-12-31,LOCKED_DERIVED_IMPLEMENTATION,Annual fixed accessorial/space reservation; car fees charged on actual movement,Fictional customer siding/Taylor to Union Pacific interchange at Wamsutter,SYNTHETIC_HISTORICAL_CASE,2% annual modeled 2026 index; synthetic commercial assumption,PUBLIC_SYNTHETIC_DIEGETIC,2027-12-31,american-resource-utility,BST,2027-12-31,2023-01-01,loaded_revenue_car,1300
